Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,120.900002,121.300003,115.379997,120.800003,118.904404,17448700
2021-03-08,120.540001,121.000000,113.699997,113.930000,112.142212,17246900
2021-03-09,117.070000,118.400002,115.330002,116.379997,114.553764,17717100
2021-03-10,117.800003,118.029999,113.410004,113.830002,112.043777,15240300
2021-03-11,118.239998,120.800003,117.070000,120.580002,118.687859,15091600
2021-03-12,119.000000,119.000000,117.279999,118.300003,116.443634,8171000
2021-03-15,118.650002,119.110001,116.709999,119.080002,117.211403,8935000
2021-03-16,119.720001,121.250000,118.099998,119.349998,117.477165,10793400
2021-03-17,117.750000,119.519997,115.389999,118.760002,117.336861,9890400
2021-03-18,118.000000,118.330002,114.099998,114.500000,113.127914,10283800
2021-03-19,114.379997,114.889999,113.209999,113.629997,112.268333,11536000
2021-03-22,114.790001,118.330002,114.790001,117.180000,115.775787,9376400
2021-03-23,116.099998,116.750000,114.620003,114.889999,113.513229,8977400
2021-03-24,112.470001,114.690002,108.849998,108.959999,107.654297,24196100
2021-03-25,108.000000,112.750000,107.889999,110.449997,109.126434,16772400
2021-03-26,112.000000,116.699997,111.199997,116.559998,115.163216,12910900
2021-03-29,116.550003,116.760002,112.389999,114.389999,113.019226,10863600
2021-03-30,115.279999,116.089996,114.290001,115.070000,113.691071,8206200
2021-03-31,115.790001,118.360001,115.559998,118.279999,116.862617,9806500
2021-04-01,122.809998,124.879997,121.639999,124.800003,123.304482,17904000
2021-04-05,127.070000,127.400002,122.680000,124.500000,123.008080,14113900
2021-04-06,124.000000,124.010002,121.540001,122.440002,120.972763,13042300
2021-04-07,122.440002,122.610001,119.839996,119.889999,118.453316,11193200
2021-04-08,121.379997,123.820000,121.379997,123.430000,121.950897,10226700
2021-04-09,122.750000,123.440002,121.699997,122.800003,121.328453,8315200
2021-04-12,122.209999,122.459999,119.239998,120.900002,119.451210,9868400
2021-04-13,122.400002,122.900002,120.349998,121.269997,119.816780,8384800
2021-04-14,121.989998,122.430000,120.500000,120.839996,119.391922,9521900
2021-04-15,121.699997,122.000000,116.559998,118.349998,116.931763,18709100
2021-04-16,119.190002,120.599998,117.849998,118.839996,117.415901,9512100
2021-04-19,118.000000,118.879997,115.199997,115.400002,114.017128,12630300
2021-04-20,116.050003,116.779999,114.550003,114.949997,113.572510,9299200
2021-04-21,114.500000,117.489998,113.769997,117.400002,115.993156,8472200
2021-04-22,117.500000,117.500000,114.410004,115.320000,113.938080,7411800
2021-04-23,116.580002,118.720001,115.930000,118.639999,117.218292,8380300
2021-04-26,120.000000,121.540001,119.400002,121.519997,120.063782,8444000
2021-04-27,121.500000,121.650002,119.889999,121.269997,119.816780,5491800
2021-04-28,120.000000,120.419998,118.730003,119.660004,118.226074,6476500
2021-04-29,120.720001,120.830002,117.610001,119.099998,117.672783,8831800
2021-04-30,118.010002,118.180000,116.650002,116.739998,115.341064,7950700
2021-05-03,117.470001,117.550003,115.730003,115.940002,114.550659,10229500
2021-05-04,115.000000,115.820000,113.739998,115.360001,113.977600,9638300
2021-05-05,116.000000,116.489998,114.849998,115.379997,113.997360,7059000
2021-05-06,115.300003,117.639999,114.459999,117.000000,115.597946,8581700
2021-05-07,118.400002,119.419998,116.050003,116.830002,115.429985,9614300
2021-05-10,114.980003,115.379997,112.230003,112.309998,110.964149,12281200
2021-05-11,109.730003,112.989998,109.129997,112.849998,111.497681,10007700
2021-05-12,109.349998,110.089996,108.059998,108.209999,106.913277,15058900
2021-05-13,109.360001,111.430000,107.900002,108.750000,107.446815,10552000
2021-05-14,110.610001,112.830002,110.239998,112.459999,111.112350,8425200
2021-05-17,109.070000,110.029999,107.870003,109.800003,108.484230,10688600
2021-05-18,113.000000,113.480003,110.739998,110.839996,109.511765,7476600
2021-05-19,108.500000,112.489998,108.000000,112.400002,111.053078,7280500
2021-05-20,112.389999,113.720001,112.099998,113.279999,111.922523,6442500
2021-05-21,114.000000,114.000000,111.690002,111.849998,110.509659,5979400
2021-05-24,112.260002,114.540001,112.120003,113.629997,112.268333,6653600
2021-05-25,114.849998,114.940002,113.599998,114.279999,112.910545,5331700
2021-05-26,114.000000,116.000000,114.000000,116.000000,114.609932,6605100
2021-05-27,116.000000,116.529999,115.000000,115.769997,114.382683,6513700
2021-05-28,116.300003,117.839996,115.949997,117.360001,115.953636,5386500
2021-06-01,119.709999,120.040001,117.430000,118.510002,117.089859,7596100
2021-06-02,118.900002,119.449997,117.919998,118.949997,117.524582,5383400
2021-06-03,118.050003,118.260002,116.459999,116.820000,115.420113,4912200
2021-06-04,118.230003,119.849998,118.050003,119.510002,118.077873,5352100
2021-06-07,118.139999,118.750000,117.570000,118.220001,116.803337,6266000
2021-06-08,117.550003,117.680000,115.059998,115.919998,114.530891,11564800
2021-06-09,116.000000,117.650002,115.970001,117.129997,115.726395,6401600
2021-06-10,117.040001,118.849998,116.629997,118.239998,116.823090,8566600
2021-06-11,118.290001,118.419998,117.160004,118.250000,116.832977,6036600
2021-06-14,118.550003,121.000000,118.459999,120.989998,119.540131,7610300
2021-06-15,120.349998,122.000000,119.269997,119.449997,118.018585,8196900
2021-06-16,119.550003,119.900002,117.500000,118.019997,116.605728,8059400
2021-06-17,117.680000,120.239998,117.589996,119.120003,118.144020,7608100
2021-06-18,117.510002,117.889999,115.209999,115.790001,114.841301,12532800
2021-06-21,115.379997,115.400002,113.019997,114.139999,113.204819,11116200
2021-06-22,113.500000,114.489998,112.010002,114.330002,113.393265,11792400
2021-06-23,116.199997,117.419998,115.809998,116.050003,115.099174,8913700
2021-06-24,116.720001,117.669998,116.269997,117.239998,116.279419,6772200
2021-06-25,117.449997,117.930000,116.529999,116.529999,115.575241,6712800
2021-06-28,117.290001,119.949997,117.180000,119.610001,118.629997,11026600
2021-06-29,119.400002,120.290001,118.419998,120.230003,119.244926,7874900
2021-06-30,120.160004,120.760002,119.010002,120.160004,119.175499,7936400
2021-07-01,120.099998,120.209999,118.029999,118.419998,117.449745,8295600
2021-07-02,118.750000,119.180000,118.410004,118.910004,117.935745,5144300
2021-07-06,119.849998,120.959999,118.220001,120.050003,119.066399,7181500
2021-07-07,120.639999,121.050003,118.209999,118.250000,117.281151,7391800
2021-07-08,115.870003,118.279999,115.379997,117.870003,116.904259,7565400
2021-07-09,118.000000,120.790001,117.620003,120.559998,119.572220,8374200
2021-07-12,121.190002,122.730003,119.519997,122.629997,121.625252,10668700
2021-07-13,123.190002,125.480003,122.129997,123.900002,122.884857,13460200
2021-07-14,125.150002,125.779999,124.070000,124.389999,123.370842,10587700
2021-07-15,120.120003,120.699997,116.870003,117.529999,116.567047,23734500
2021-07-16,118.750000,118.989998,115.169998,115.739998,114.791710,12110000
2021-07-19,114.000000,115.620003,113.230003,115.349998,114.404900,9230200
2021-07-20,115.879997,116.870003,114.430000,116.400002,115.446304,7108000
2021-07-21,116.230003,117.870003,115.930000,117.870003,116.904259,5564700
2021-07-22,118.089996,118.089996,116.209999,116.559998,115.604996,5746500
2021-07-23,117.650002,117.650002,115.330002,116.790001,115.833107,5773900
2021-07-26,115.790001,116.099998,114.870003,115.650002,114.702454,6440600
2021-07-27,115.320000,115.400002,112.050003,113.540001,112.609741,11127500
2021-07-28,113.940002,115.510002,113.879997,115.070000,114.127205,6819700
2021-07-29,116.000000,117.110001,115.610001,116.150002,115.198349,7162000
2021-07-30,115.500000,117.419998,115.190002,116.639999,115.684341,6482600
2021-08-02,117.500000,118.379997,116.660004,116.860001,115.902534,6028800
2021-08-03,117.309998,118.639999,116.839996,118.410004,117.439842,5874700
2021-08-04,118.430000,119.550003,118.279999,118.739998,117.767128,4254000
2021-08-05,119.070000,119.239998,118.239998,119.220001,118.243195,4452300
2021-08-06,118.370003,118.599998,117.449997,118.209999,117.241470,4338100
2021-08-09,118.419998,118.790001,117.320000,118.220001,117.251396,4280200
2021-08-10,118.500000,119.050003,114.080002,116.360001,115.406631,5132800
2021-08-11,116.500000,117.290001,115.199997,115.989998,115.039658,4490400
2021-08-12,115.550003,115.949997,114.440002,115.699997,114.752037,6338400
2021-08-13,115.070000,115.519997,114.489998,115.500000,114.553680,4593200
2021-08-16,115.099998,115.480003,114.099998,114.629997,113.690796,5435900
2021-08-17,113.730003,113.849998,110.750000,111.110001,110.199646,13398800
2021-08-18,111.739998,113.000000,110.379997,110.449997,109.545052,9167300
2021-08-19,109.000000,110.970001,107.680000,110.519997,109.614479,12146900
2021-08-20,109.139999,109.709999,107.730003,108.120003,107.234146,13042000
2021-08-23,110.080002,111.330002,109.269997,110.959999,110.050873,9533500
2021-08-24,111.820000,113.070000,111.800003,112.110001,111.191460,6719800
2021-08-25,115.709999,119.180000,115.610001,117.029999,116.071144,22106800
2021-08-26,117.980003,118.459999,116.349998,118.099998,117.132370,9892100
2021-08-27,118.330002,119.300003,117.690002,118.489998,117.519180,6827700
2021-08-30,118.879997,119.500000,118.470001,118.989998,118.015083,6434200
2021-08-31,120.010002,120.800003,118.699997,119.010002,118.034920,8424900
2021-09-01,120.220001,121.360001,119.559998,120.459999,119.473038,8603900
2021-09-02,120.940002,121.389999,120.459999,120.790001,119.800339,6866400
2021-09-03,121.580002,124.480003,121.260002,123.970001,122.954285,10361400
2021-09-07,124.620003,125.279999,123.889999,124.699997,123.678291,9739900
2021-09-08,122.970001,123.139999,121.230003,121.889999,120.891319,7983300
2021-09-09,122.190002,123.489998,121.879997,122.680000,121.674850,5101300
2021-09-10,123.019997,124.339996,122.889999,122.970001,121.962479,5163900
