Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,124.129997,129.589996,124.0,128.800003,128.18222,18592000
2022-01-04,130.869995,135.5,130.300003,133.399994,132.760147,25554900
2022-01-05,130.710007,130.880005,126.879997,127.059998,126.450562,17891200
2022-01-06,127.0,129.0,124.809998,128.470001,127.853806,16249000
2022-01-07,126.550003,127.139999,123.309998,123.5,122.907639,21248100
2022-01-10,125.110001,125.870003,123.260002,125.010002,124.4104,11857700
2022-01-11,126.540001,129.550003,125.5,129.169998,128.550446,12113100
2022-01-12,130.5,132.919998,130.220001,132.229996,131.595764,16389200
2022-01-13,140.75,145.0,138.919998,139.190002,138.522385,52020000
2022-01-14,136.089996,143.880005,136.089996,140.660004,139.985336,28255300
2022-01-18,136.75,137.179993,133.289993,133.830002,133.188095,15191400
2022-01-19,134.619995,135.899994,130.940002,131.009995,130.381607,11155100
2022-01-20,131.919998,132.75,128.199997,128.330002,127.714478,11421900
2022-01-21,127.080002,127.980003,124.269997,124.529999,123.932701,15573700
2022-01-24,123.769997,126.07,120.129997,125.959999,125.355843,17083400
2022-01-25,125.489998,125.82,121.699997,122.480003,121.892532,11370500
2022-01-26,125.379997,126.669998,121.889999,123.080002,122.489655,13592100
2022-01-27,124.0,124.139999,116.029999,116.379997,115.821785,18599800
2022-01-28,118.709999,119.599998,114.190002,117.610001,117.045891,14005900
2022-01-31,119.519997,122.769997,118.809998,122.629997,122.041809,10189100
2022-02-01,122.900002,123.239998,120.099998,123.050003,122.459801,6956300
2022-02-02,126.230003,126.470001,122.550003,124.150002,123.55452,8562900
2022-02-03,121.449997,123.879997,119.25,119.839996,119.26519,9926800
2022-02-04,120.440002,121.830002,119.389999,121.019997,120.439529,5743200
2022-02-07,122.559998,124.099998,121.879997,122.309998,121.723343,6562900
2022-02-08,122.0,123.860001,121.610001,123.709999,123.116631,7036200
2022-02-09,124.879997,125.550003,122.760002,125.519997,124.917946,10979700
2022-02-10,124.800003,128.660004,124.360001,124.709999,124.111832,10474900
2022-02-11,125.5,126.580002,120.449997,121.010002,120.429581,9845700
2022-02-14,119.949997,121.550003,118.0,119.769997,119.195526,8081800
2022-02-15,122.019997,124.610001,121.459999,124.519997,123.922745,9248700
2022-02-16,123.139999,124.290001,121.57,123.599998,123.007156,5749500
2022-02-17,122.489998,122.75,119.650002,119.760002,119.185577,7976700
2022-02-18,120.519997,120.690002,118.449997,119.309998,118.737732,8389000
2022-02-22,117.5,119.360001,115.720001,116.910004,116.349251,9793500
2022-02-23,118.550003,119.43,115.760002,115.900002,115.344093,8114700
2022-02-24,108.0,111.980003,104.379997,111.879997,111.343369,27539100
2022-02-25,112.290001,113.0,109.360001,111.230003,110.696495,14258900
2022-02-28,109.370003,109.769997,105.0,107.010002,106.496735,26347100
2022-03-01,110.0,111.110001,107.050003,108.050003,107.531746,20377900
2022-03-02,108.400002,109.970001,107.860001,109.610001,109.084259,13342400
2022-03-03,109.910004,110.0,107.599998,108.790001,108.268196,10841700
2022-03-04,107.0,108.120003,103.809998,105.059998,104.556084,22372100
2022-03-07,103.290001,104.089996,99.059998,99.290001,98.813759,29422900
2022-03-08,100.209999,103.110001,98.620003,100.0,99.520355,25650000
2022-03-09,104.510002,105.720001,102.760002,104.949997,104.446609,14348400
2022-03-10,104.190002,105.529999,102.519997,103.959999,103.461357,11811000
2022-03-11,105.360001,105.360001,101.300003,101.410004,100.923599,18111100
2022-03-14,101.519997,101.860001,99.07,99.300003,98.823715,17959400
2022-03-15,98.029999,102.139999,97.620003,102.089996,101.600327,13415600
2022-03-16,102.989998,105.790001,102.809998,105.690002,105.690002,20347100
2022-03-17,105.75,106.529999,104.75,106.489998,106.489998,8042000
2022-03-18,105.709999,107.040001,104.889999,106.720001,106.720001,10210200
2022-03-21,106.720001,107.220001,105.129997,106.919998,106.919998,10366100
2022-03-22,106.389999,107.959999,106.230003,107.040001,107.040001,10401200
2022-03-23,106.5,108.190002,105.349998,105.349998,105.349998,12905300
2022-03-24,106.779999,107.980003,105.830002,107.919998,107.919998,10834000
