Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,21.9,22.049999,21.75,21.799999,20.619341,1799000
2022-01-04,21.799999,21.85,21.5,21.6,20.430174,2275000
2022-01-05,21.65,22.0,21.549999,21.6,20.430174,1630000
2022-01-06,21.799999,21.799999,21.450001,21.75,20.57205,1248000
2022-01-07,21.799999,21.85,21.25,21.4,20.241005,2421000
2022-01-10,21.35,21.6,21.25,21.299999,20.146421,1277000
2022-01-11,21.700001,21.700001,21.25,21.35,20.193714,1730000
2022-01-12,21.5,21.65,21.0,21.4,20.241005,2867000
2022-01-13,21.35,22.0,21.35,21.5,20.33559,2474000
2022-01-14,21.5,21.5,20.9,21.200001,20.051838,2420000
2022-01-17,21.25,21.25,21.049999,21.15,20.004545,756000
2022-01-18,21.15,21.4,21.1,21.1,19.957253,927000
2022-01-19,21.0,21.0,20.700001,20.799999,19.6735,2314000
2022-01-20,20.9,21.299999,20.9,21.200001,20.051838,1815000
2022-01-21,21.200001,21.4,21.0,21.0,19.862669,1778000
2022-01-24,20.9,20.9,20.299999,20.65,19.531624,1731000
2022-01-25,20.65,20.950001,20.299999,20.299999,19.200579,1614000
2022-01-26,20.299999,20.450001,20.1,20.200001,19.105997,1607000
2022-02-07,20.4,21.299999,20.4,21.200001,20.051838,2099000
2022-02-08,21.299999,21.9,21.25,21.75,20.57205,2943000
2022-02-09,21.950001,22.1,21.799999,21.950001,20.761219,2391000
2022-02-10,22.1,22.4,21.9,22.15,20.950386,3780000
2022-02-11,22.15,22.299999,22.049999,22.200001,20.997679,2162000
2022-02-14,22.200001,22.200001,21.65,22.0,20.80851,2750000
2022-02-15,22.200001,22.6,22.1,22.450001,21.23414,4608000
2022-02-16,22.65,22.65,22.15,22.25,21.044971,2497000
2022-02-17,22.25,22.65,22.200001,22.549999,21.328722,4885000
2022-02-18,22.5,23.049999,22.4,22.85,21.612476,4367000
2022-02-21,22.950001,24.299999,22.9,23.9,22.605608,19166000
2022-02-22,23.950001,24.0,22.950001,23.5,22.227272,13012000
2022-02-23,23.5,24.0,23.35,23.5,22.227272,5154000
2022-02-24,23.700001,23.75,22.65,22.9,21.659767,5043000
2022-02-25,23.25,24.200001,23.200001,23.9,22.605608,10164000
2022-03-01,24.85,25.450001,24.299999,24.9,23.551451,14166000
2022-03-02,24.9,26.0,24.9,25.799999,24.402706,17769000
2022-03-03,26.5,26.549999,25.9,26.25,24.828337,16793000
2022-03-04,26.15,26.5,25.9,25.9,24.497292,9739000
2022-03-07,26.0,26.700001,25.6,26.15,24.733751,21117000
2022-03-08,26.700001,27.0,24.15,24.65,23.314989,27210000
2022-03-09,24.950001,25.299999,24.299999,25.200001,23.835203,9180000
2022-03-10,25.200001,26.0,24.85,25.9,24.497292,11524000
2022-03-11,26.0,26.450001,25.6,25.65,24.26083,6875000
2022-03-14,25.85,26.5,25.85,26.35,24.92292,8814000
2022-03-15,26.5,26.5,25.65,25.85,24.450001,9513000
2022-03-16,24.450001,24.85,23.85,23.9,23.9,17812000
2022-03-17,24.4,25.0,24.1,25.0,25.0,5381000
2022-03-18,25.0,25.25,24.6,24.6,24.6,3822000
2022-03-21,25.0,25.700001,24.9,24.9,24.9,5886000
2022-03-22,25.25,25.799999,25.1,25.5,25.5,5490000
2022-03-23,26.0,26.0,25.549999,25.65,25.65,4625000
2022-03-24,25.9,26.200001,25.700001,25.9,25.9,5806000
2022-03-25,26.15,26.200001,25.5,25.75,25.75,4622000
